Position,Rank,Player,Team,Opponent,Estimated FP,Yahoo FPPG,Salary,FP / salary,Depth,Kickoff UTC,Projection method
QB,1,Jaxson Dart,NYG,DAL,21.76,17.61,35,0.622,1,2026-09-14 00:20,market good: Bovada+Underdog
QB,2,Justin Herbert,LAC,ARI,21.0,18.23,35,0.6,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,3,Lamar Jackson,BAL,IND,20.74,17.07,36,0.576,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,4,Joe Burrow,CIN,TB,20.43,17.43,38,0.538,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,5,Jalen Hurts,PHI,WAS,19.86,18.66,36,0.552,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,6,Josh Allen,BUF,HOU,19.84,23.82,39,0.509,1,2026-09-13 17:00,market fair: Bovada+Underdog
QB,7,Trevor Lawrence,JAC,CLE,18.65,20.64,37,0.504,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,8,Caleb Williams,CHI,CAR,18.65,19.36,37,0.504,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,9,Jared Goff,DET,NO,18.58,17.94,35,0.531,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,10,Brock Purdy,SF,LA,18.37,19.32,27,0.68,1,2026-09-11 00:35,market good: Bovada+Underdog
QB,11,Dak Prescott,DAL,NYG,18.03,19.05,36,0.501,1,2026-09-14 00:20,market good: Bovada+Underdog
QB,12,Baker Mayfield,TB,CIN,17.9,16.64,33,0.542,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,13,Jayden Daniels,WAS,PHI,17.77,16.75,32,0.555,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,14,Kyler Murray,MIN,GB,17.73,16.16,30,0.591,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,15,Jordan Love,GB,MIN,17.69,16.95,34,0.52,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,16,Tyler Shough,NO,DET,17.48,14.91,30,0.583,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,17,Matthew Stafford,LA,SF,17.47,21.02,35,0.499,1,2026-09-11 00:35,market good: Bovada+Underdog
QB,18,Drake Maye,NE,SEA,17.44,20.4,34,0.513,1,2026-09-10 00:20,market good: Bovada+Underdog
QB,19,Patrick Mahomes,KC,DEN,16.84,21.16,33,0.51,1,2026-09-15 00:15,market good: Underdog
QB,20,Bryce Young,CAR,CHI,16.74,14.76,27,0.62,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,21,Malik Willis,MIA,LV,16.46,12.79,24,0.686,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,22,Daniel Jones,IND,BAL,16.2,18.03,30,0.54,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,23,Sam Darnold,SEA,NE,16.07,14.88,29,0.554,1,2026-09-10 00:20,market good: Bovada+Underdog
QB,24,Bo Nix,DEN,KC,15.76,18.94,32,0.492,1,2026-09-15 00:15,market good: Underdog
QB,25,C.J. Stroud,HOU,BUF,15.41,14.69,29,0.531,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,1,De'Von Achane,MIA,LV,23.84,18.08,36,0.662,1,2026-09-13 20:25,market good: Bovada+Underdog
RB,2,Jahmyr Gibbs,DET,NO,21.54,19.32,40,0.538,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,3,Bijan Robinson,ATL,PIT,19.36,19.49,40,0.484,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,4,Christian McCaffrey,SF,LA,18.23,21.15,39,0.467,1,2026-09-11 00:35,market good: Bovada+Underdog
RB,5,Chase Brown,CIN,TB,17.73,14.59,37,0.479,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,6,Jonathan Taylor,IND,BAL,17.1,19.96,37,0.462,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,7,Saquon Barkley,PHI,WAS,15.62,13.44,34,0.459,1,2026-09-13 20:25,market good: Bovada+Underdog
RB,8,Javonte Williams,DAL,NYG,15.3,14.08,29,0.528,1,2026-09-14 00:20,market good: Bovada+Underdog
RB,9,Derrick Henry,BAL,IND,15.28,16.0,38,0.402,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,10,Omarion Hampton,LAC,ARI,14.83,11.96,29,0.511,1,2026-09-13 20:25,market good: Bovada+Underdog
RB,11,Ashton Jeanty,LV,MIA,14.74,12.8,33,0.447,1,2026-09-13 20:25,market good: Bovada+Underdog
RB,12,James Cook III,BUF,HOU,14.46,16.05,31,0.466,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,13,D'Andre Swift,CHI,CAR,14.27,13.08,28,0.51,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,14,Kenneth Walker III,KC,DEN,14.25,12.33,35,0.407,1,2026-09-15 00:15,market good: Underdog
RB,15,Breece Hall,NYJ,TEN,13.91,11.85,27,0.515,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,16,Kyren Williams,LA,SF,13.45,14.93,36,0.374,1,2026-09-11 00:35,market good: Bovada+Underdog
RB,17,Bucky Irving,TB,CIN,13.23,12.35,25,0.529,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,18,Jordan Mason,MIN,GB,13.22,7.62,16,0.826,2,2026-09-13 20:25,market good: Bovada+Underdog
RB,19,Travis Etienne Jr.,NO,DET,13.13,14.22,30,0.438,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,20,Cam Skattebo,NYG,DAL,11.79,14.46,31,0.38,1,2026-09-14 00:20,market good: Bovada+Underdog
RB,21,Jaylen Warren,PIT,ATL,11.52,11.9,27,0.427,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,22,David Montgomery,HOU,BUF,11.51,9.11,20,0.576,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,23,Rhamondre Stevenson,NE,SEA,11.48,11.62,26,0.442,1,2026-09-10 00:20,market good: Bovada+Underdog
RB,24,MarShawn Lloyd,GB,MIN,11.33,0.0,10,1.133,1,2026-09-13 20:25,market good: Bovada+Underdog
RB,25,Quinshon Judkins,CLE,JAC,11.3,11.2,24,0.471,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,1,Malik Nabers,NYG,DAL,18.13,12.02,26,0.697,1,2026-09-14 00:20,market good: Bovada+Underdog
WR,2,Ja'Marr Chase,CIN,TB,16.84,15.69,39,0.432,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,3,Puka Nacua,LA,SF,16.47,19.79,38,0.433,1,2026-09-11 00:35,market good: Bovada+Underdog
WR,4,Amon-Ra St. Brown,DET,NO,15.62,15.62,38,0.411,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,5,Jaxon Smith-Njigba,SEA,NE,15.49,17.04,35,0.443,1,2026-09-10 00:20,market good: Bovada+Underdog
WR,6,CeeDee Lamb,DAL,NYG,14.43,11.67,29,0.498,1,2026-09-14 00:20,market good: Bovada+Underdog
WR,7,Chris Olave,NO,DET,14.21,13.69,34,0.418,1,2026-09-13 17:00,market good: Bovada+Underdog
