Position,Rank,Player,Team,Opponent,Estimated FP,Yahoo FPPG,Salary,FP / salary,Role,Role slot,Depth,Kickoff UTC,Projection method
QB,1,Justin Herbert,LAC,ARI,21.89,18.23,35,0.625,starter,QB slot 9,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,2,Lamar Jackson,BAL,IND,21.02,17.07,36,0.584,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,3,Joe Burrow,CIN,TB,20.88,17.43,38,0.549,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,4,Jalen Hurts,PHI,WAS,20.78,18.66,36,0.577,starter,QB slot 9,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,5,Josh Allen,BUF,HOU,20.58,23.82,39,0.528,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,6,Jaxson Dart,NYG,DAL,19.67,17.61,35,0.562,starter,QB slot 9,1,2026-09-14 00:20,market good: Bovada+Underdog
QB,7,Trevor Lawrence,JAC,CLE,19.59,20.64,37,0.529,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,8,Dak Prescott,DAL,NYG,19.52,19.05,36,0.542,starter,QB slot 9,1,2026-09-14 00:20,market good: Bovada+Underdog
QB,9,Kyler Murray,MIN,GB,19.09,16.16,30,0.636,starter,QB slot 9,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,10,Caleb Williams,CHI,CAR,18.97,19.36,37,0.513,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,11,Baker Mayfield,TB,CIN,18.52,16.64,33,0.561,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,12,Jayden Daniels,WAS,PHI,18.24,16.75,32,0.57,starter,QB slot 9,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,13,Brock Purdy,SF,LA,18.22,19.32,27,0.675,starter,QB slot 9,1,2026-09-11 00:35,market good: Bovada+Underdog
QB,14,Jared Goff,DET,NO,18.08,17.94,35,0.517,starter,QB slot 9,1,2026-09-13 17:00,70% FPPG + 30% salary prior; market missing: rushing_yards
QB,15,Tyler Shough,NO,DET,17.97,14.91,30,0.599,starter,QB slot 9,1,2026-09-13 17:00,market good 80% audit: Bovada+Underdog
QB,16,Jordan Love,GB,MIN,17.93,16.95,34,0.527,starter,QB slot 9,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,17,Matthew Stafford,LA,SF,17.8,21.02,35,0.509,starter,QB slot 9,1,2026-09-11 00:35,market good: Bovada+Underdog
QB,18,Patrick Mahomes,KC,DEN,17.67,21.16,33,0.535,starter,QB slot 9,1,2026-09-15 00:15,market good: Bovada+Underdog
QB,19,Bo Nix,DEN,KC,17.65,18.94,32,0.552,starter,QB slot 9,1,2026-09-15 00:15,market good: Bovada+Underdog
QB,20,Daniel Jones,IND,BAL,17.28,18.03,30,0.576,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,21,Bryce Young,CAR,CHI,17.18,14.76,27,0.636,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,22,C.J. Stroud,HOU,BUF,16.78,14.69,29,0.579,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,23,Jacoby Brissett,ARI,LAC,16.09,16.82,31,0.519,starter,QB slot 9,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,24,Malik Willis,MIA,LV,15.8,12.79,24,0.658,starter,QB slot 9,1,2026-09-13 20:25,market good 80% audit: Bovada+Underdog
QB,25,Aaron Rodgers,PIT,ATL,14.75,13.91,27,0.546,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,1,Jahmyr Gibbs,DET,NO,22.14,19.32,40,0.554,starter,RB slot 11,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,2,Bijan Robinson,ATL,PIT,19.71,19.49,40,0.493,starter,RB slot 11,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,3,Christian McCaffrey,SF,LA,18.61,21.15,39,0.477,starter,RB slot 11,1,2026-09-11 00:35,market good: Bovada+Underdog
RB,4,Jonathan Taylor,IND,BAL,17.76,19.96,37,0.48,starter,RB slot 11,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,5,De'Von Achane,MIA,LV,17.17,18.08,36,0.477,starter,RB slot 11,1,2026-09-13 20:25,market good: Bovada+Underdog
RB,6,Saquon Barkley,PHI,WAS,16.11,13.44,34,0.474,starter,RB slot 11,1,2026-09-13 20:25,market good: Bovada+Underdog
RB,7,Chase Brown,CIN,TB,15.81,14.59,37,0.427,starter,RB slot 11,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,8,Derrick Henry,BAL,IND,15.71,16.0,38,0.413,starter,RB slot 11,1,2026-09-13 17:00,market good: Bovada+Underdog
