Position,Rank,Player,Team,Opponent,Estimated FP,Salary,FP / salary,Role,Role slot,Depth,Kickoff UTC,Projection method
QB,1,Lamar Jackson,BAL,DAL,24.45,37,0.661,starter,QB QB,1,2026-09-27 20:25,Sleeper half-PPR projection (2026 week 3)
QB,2,Josh Allen,BUF,LAC,23.6,42,0.562,starter,QB QB,1,2026-09-27 17:00,Sleeper half-PPR projection (2026 week 3)
QB,3,Brock Purdy,SF,ARI,21.61,38,0.569,starter,QB QB,1,2026-09-27 20:05,Sleeper half-PPR projection (2026 week 3)
QB,4,Patrick Mahomes,KC,MIA,20.93,39,0.537,starter,QB QB,1,2026-09-27 17:00,Sleeper half-PPR projection (2026 week 3)
QB,5,Trevor Lawrence,JAC,NE,19.17,34,0.564,starter,QB QB,1,2026-09-27 17:00,Sleeper half-PPR projection (2026 week 3)
QB,6,Dak Prescott,DAL,BAL,18.99,35,0.543,starter,QB QB,1,2026-09-27 20:25,Sleeper half-PPR projection (2026 week 3)
QB,7,Jared Goff,DET,NYJ,18.92,34,0.556,starter,QB QB,1,2026-09-27 17:00,Sleeper half-PPR projection (2026 week 3)
QB,8,Jalen Hurts,PHI,CHI,18.67,38,0.491,starter,QB QB,1,2026-09-29 00:15,Sleeper half-PPR projection (2026 week 3)
QB,9,Drake Maye,NE,JAC,18.39,29,0.634,starter,QB QB,1,2026-09-27 17:00,Sleeper half-PPR projection (2026 week 3)
QB,10,Tyler Shough,NO,LV,18.33,35,0.524,starter,QB QB,1,2026-09-27 20:25,Sleeper half-PPR projection (2026 week 3)
QB,11,Joe Burrow,CIN,PIT,17.57,36,0.488,starter,QB QB,1,2026-09-27 17:00,Sleeper half-PPR projection (2026 week 3)
QB,12,Kyler Murray,MIN,TB,17.55,23,0.763,starter,QB QB,1,2026-09-27 20:05,Sleeper half-PPR projection (2026 week 3)
QB,13,Justin Herbert,LAC,BUF,16.81,28,0.6,starter,QB QB,1,2026-09-27 17:00,Sleeper half-PPR projection (2026 week 3)
QB,14,Sam Darnold,SEA,WAS,16.79,21,0.8,starter,QB QB,1,2026-09-27 17:00,Sleeper half-PPR projection (2026 week 3)
QB,15,Bo Nix,DEN,LA,16.67,33,0.505,starter,QB QB,1,2026-09-28 00:20,Sleeper half-PPR projection (2026 week 3)
QB,16,Bryce Young,CAR,CLE,16.55,37,0.447,starter,QB QB,1,2026-09-27 17:00,Sleeper half-PPR projection (2026 week 3)
QB,17,Jordan Love,GB,ATL,16.48,33,0.499,starter,QB QB,1,2026-09-25 00:15,Sleeper half-PPR projection (2026 week 3)
QB,18,Matthew Stafford,LA,DEN,15.98,30,0.533,starter,QB QB,1,2026-09-28 00:20,Sleeper half-PPR projection (2026 week 3)
QB,19,Baker Mayfield,TB,MIN,15.92,27,0.59,starter,QB QB,1,2026-09-27 20:05,Sleeper half-PPR projection (2026 week 3)
QB,20,Malik Willis,MIA,KC,15.85,25,0.634,starter,QB QB,1,2026-09-27 17:00,Sleeper half-PPR projection (2026 week 3)
QB,21,Geno Smith,NYJ,DET,15.6,22,0.709,starter,QB QB,1,2026-09-27 17:00,Sleeper half-PPR projection (2026 week 3)
QB,22,C.J. Stroud,HOU,IND,15.38,32,0.481,starter,QB QB,1,2026-09-27 17:00,Sleeper half-PPR projection (2026 week 3)
QB,23,Jacoby Brissett,ARI,SF,15.36,26,0.591,starter,QB QB,1,2026-09-27 20:05,Sleeper half-PPR projection (2026 week 3)
QB,24,Kirk Cousins,LV,NO,14.64,25,0.586,starter,QB QB,1,2026-09-27 20:25,Sleeper half-PPR projection (2026 week 3)
QB,25,Aaron Rodgers,PIT,CIN,14.44,20,0.722,starter,QB QB,1,2026-09-27 17:00,Sleeper half-PPR projection (2026 week 3)
RB,1,Jahmyr Gibbs,DET,NYJ,21.04,40,0.526,starter,RB RB,1,2026-09-27 17:00,Sleeper half-PPR projection (2026 week 3)
RB,2,Kenneth Walker III,KC,MIA,18.65,38,0.491,starter,RB RB,1,2026-09-27 17:00,Sleeper half-PPR projection (2026 week 3)
RB,3,Christian McCaffrey,SF,ARI,18.53,37,0.501,starter,RB RB,1,2026-09-27 20:05,Sleeper half-PPR projection (2026 week 3)
RB,4,Jonathan Taylor,IND,HOU,18.3,40,0.458,starter,RB RB,1,2026-09-27 17:00,Sleeper half-PPR projection (2026 week 3)
RB,5,Derrick Henry,BAL,DAL,18.14,39,0.465,starter,RB RB,1,2026-09-27 20:25,Sleeper half-PPR projection (2026 week 3)
RB,6,Bijan Robinson,ATL,GB,18.05,35,0.516,starter,RB RB,1,2026-09-25 00:15,Sleeper half-PPR projection (2026 week 3)
RB,7,James Cook III,BUF,LAC,15.44,33,0.468,starter,RB RB,1,2026-09-27 17:00,Sleeper half-PPR projection (2026 week 3)
RB,8,Saquon Barkley,PHI,CHI,14.87,27,0.551,starter,RB RB,1,2026-09-29 00:15,Sleeper half-PPR projection (2026 week 3)
RB,9,Jaylen Warren,PIT,CIN,14.46,23,0.629,starter,RB RB,1,2026-09-27 17:00,Sleeper half-PPR projection (2026 week 3)
RB,10,Chase Brown,CIN,PIT,14.22,30,0.474,starter,RB RB,1,2026-09-27 17:00,Sleeper half-PPR projection (2026 week 3)
RB,11,De'Von Achane,MIA,KC,14.22,28,0.508,starter,RB RB,1,2026-09-27 17:00,Sleeper half-PPR projection (2026 week 3)
RB,12,Breece Hall,NYJ,DET,14.14,32,0.442,starter,RB RB,1,2026-09-27 17:00,Sleeper half-PPR projection (2026 week 3)
RB,13,Javonte Williams,DAL,BAL,14.05,29,0.484,starter,RB RB,1,2026-09-27 20:25,Sleeper half-PPR projection (2026 week 3)
RB,14,Ashton Jeanty,LV,NO,13.65,31,0.44,starter,RB RB,1,2026-09-27 20:25,Sleeper half-PPR projection (2026 week 3)
RB,15,Chuba Hubbard,CAR,CLE,13.57,27,0.503,starter,RB RB,1,2026-09-27 17:00,Sleeper half-PPR projection (2026 week 3)
RB,16,David Montgomery,HOU,IND,13.4,27,0.496,starter,RB RB,1,2026-09-27 17:00,Sleeper half-PPR projection (2026 week 3)
RB,17,Cam Skattebo,NYG,TEN,13.11,32,0.41,starter,RB RB,1,2026-09-27 17:00,Sleeper half-PPR projection (2026 week 3)
RB,18,Bucky Irving,TB,MIN,13.03,28,0.465,starter,RB RB,1,2026-09-27 20:05,Sleeper half-PPR projection (2026 week 3)
RB,19,Omarion Hampton,LAC,BUF,12.92,29,0.446,starter,RB RB,1,2026-09-27 17:00,Sleeper half-PPR projection (2026 week 3)
RB,20,D'Andre Swift,CHI,PHI,12.74,33,0.386,starter,RB RB,1,2026-09-29 00:15,Sleeper half-PPR projection (2026 week 3)
RB,21,Jeremiyah Love,ARI,SF,12.61,25,0.504,starter,RB RB,1,2026-09-27 20:05,Sleeper half-PPR projection (2026 week 3)
RB,22,Kyren Williams,LA,DEN,12.58,32,0.393,starter,RB RB,1,2026-09-28 00:20,Sleeper half-PPR projection (2026 week 3)
RB,23,Aaron Jones Sr.,MIN,TB,11.81,23,0.513,starter,RB RB,1,2026-09-27 20:05,Sleeper half-PPR projection (2026 week 3)
RB,24,TreVeyon Henderson,NE,JAC,11.51,20,0.576,starter,RB RB,1,2026-09-27 17:00,Sleeper half-PPR projection (2026 week 3)
RB,25,Quinshon Judkins,CLE,CAR,11.3,19,0.595,starter,RB RB,1,2026-09-27 17:00,Sleeper half-PPR projection (2026 week 3)
WR,1,Jaxon Smith-Njigba,SEA,WAS,18.49,41,0.451,starter,WR LWR,1,2026-09-27 17:00,Sleeper half-PPR projection (2026 week 3)
WR,2,Amon-Ra St. Brown,DET,NYJ,16.09,40,0.402,starter,WR SWR,1,2026-09-27 17:00,Sleeper half-PPR projection (2026 week 3)
WR,3,Chris Olave,NO,LV,15.0,38,0.395,starter,WR RWR,1,2026-09-27 20:25,Sleeper half-PPR projection (2026 week 3)
WR,4,Zay Flowers,BAL,DAL,14.58,37,0.394,starter,WR SWR,1,2026-09-27 20:25,Sleeper half-PPR projection (2026 week 3)
WR,5,CeeDee Lamb,DAL,BAL,14.36,34,0.422,starter,WR LWR,1,2026-09-27 20:25,Sleeper half-PPR projection (2026 week 3)
WR,6,Ja'Marr Chase,CIN,PIT,13.89,36,0.386,starter,WR LWR,1,2026-09-27 17:00,Sleeper half-PPR projection (2026 week 3)
WR,7,Justin Jefferson,MIN,TB,13.81,30,0.46,starter,WR LWR,1,2026-09-27 20:05,Sleeper half-PPR projection (2026 week 3)
WR,8,Christian Watson,GB,ATL,13.64,28,0.487,starter,WR LWR,1,2026-09-25 00:15,Sleeper half-PPR projection (2026 week 3)
WR,9,DeVonta Smith,PHI,CHI,12.82,26,0.493,starter,WR LWR,1,2026-09-29 00:15,Sleeper half-PPR projection (2026 week 3)
WR,10,Parker Washington,JAC,NE,12.7,31,0.41,starter,WR SWR,1,2026-09-27 17:00,Sleeper half-PPR projection (2026 week 3)
WR,11,Garrett Wilson,NYJ,DET,12.47,26,0.48,starter,WR LWR,1,2026-09-27 17:00,Sleeper half-PPR projection (2026 week 3)
WR,12,George Pickens,DAL,BAL,12.37,23,0.538,starter,WR RWR,2,2026-09-27 20:25,Sleeper half-PPR projection (2026 week 3)
WR,13,Jalen Coker,CAR,CLE,12.29,28,0.439,starter,WR SWR,1,2026-09-27 17:00,Sleeper half-PPR projection (2026 week 3)
WR,14,Tetairoa McMillan,CAR,CLE,12.04,25,0.482,starter,WR LWR,2,2026-09-27 17:00,Sleeper half-PPR projection (2026 week 3)
WR,15,Davante Adams,LA,DEN,11.75,21,0.56,starter,WR LWR,1,2026-09-28 00:20,Sleeper half-PPR projection (2026 week 3)
