Position,Rank,Player,Team,Opponent,Estimated FP,Yahoo FPPG,Salary,FP / salary,Role,Role slot,Depth,Kickoff UTC,Projection method
QB,1,Justin Herbert,LAC,ARI,20.99,18.23,35,0.6,starter,QB slot 9,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,2,Lamar Jackson,BAL,IND,20.87,17.07,36,0.58,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,3,Joe Burrow,CIN,TB,20.44,17.43,38,0.538,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,4,Jalen Hurts,PHI,WAS,20.13,18.66,36,0.559,starter,QB slot 9,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,5,Jaxson Dart,NYG,DAL,19.04,17.61,35,0.544,starter,QB slot 9,1,2026-09-14 00:20,market good: Bovada+Underdog
QB,6,Josh Allen,BUF,HOU,18.89,23.82,39,0.484,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,7,Trevor Lawrence,JAC,CLE,18.85,20.64,37,0.509,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,8,Jared Goff,DET,NO,18.67,17.94,35,0.533,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,9,Dak Prescott,DAL,NYG,18.63,19.05,36,0.518,starter,QB slot 9,1,2026-09-14 00:20,market good: Bovada+Underdog
QB,10,Caleb Williams,CHI,CAR,18.47,19.36,37,0.499,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,11,Kyler Murray,MIN,GB,18.31,16.16,30,0.61,starter,QB slot 9,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,12,Tua Tagovailoa,ATL,PIT,18.03,12.55,21,0.858,starter,QB slot 9,1,2026-09-13 17:00,market good 65% audit: Bovada+Underdog
QB,13,Brock Purdy,SF,LA,18.02,19.32,27,0.667,starter,QB slot 9,1,2026-09-11 00:35,market good: Bovada+Underdog
QB,14,Jayden Daniels,WAS,PHI,17.85,16.75,32,0.558,starter,QB slot 9,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,15,Baker Mayfield,TB,CIN,17.84,16.64,33,0.541,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
