slot,player,pos,team,opponent,kickoff_utc,mean,floor,ceiling,salary,fppg,depth,depth_source,source,market_quality,market_raw,market_prior,market_delta,market_delta_pct,market_base_weight,market_weight,market_audit_flag,market_audit_reason,market_feed_count,injury,review
QB,Dak Prescott,QB,DAL,NYG,2026-09-14 00:20,19.0,12.5,30.88,36.0,19.05,1,nflverse latest depth,market good 90% audit: Bovada,good,18.97,19.31,-0.34,-0.0174,1.0,0.9,single-feed,good projection has one market provider,1.0,,ok
RB,James Cook III,RB,BUF,HOU,2026-09-13 17:00,14.46,7.92,26.3,31.0,16.05,1,nflverse latest depth,market good 90% audit: Bovada,good,14.34,15.56,-1.22,-0.0782,1.0,0.9,single-feed,good projection has one market provider,1.0,,ok
RB,Breece Hall,RB,NYJ,TEN,2026-09-13 17:00,13.81,7.56,25.1,27.0,11.85,1,nflverse latest depth,market good 90% audit: Bovada,good,14.01,11.96,2.05,0.1713,1.0,0.9,single-feed,good projection has one market provider,1.0,,ok
WR,Tee Higgins,WR,CIN,TB,2026-09-13 17:00,12.59,6.04,24.35,33.0,12.14,2,nflverse latest depth,market fair 75%: Bovada,fair,12.46,12.97,-0.51,-0.0396,0.75,0.75,pass,within calibration gates,1.0,,ok
WR,Jameson Williams,WR,DET,NO,2026-09-13 17:00,10.96,5.26,21.2,27.0,11.02,2,nflverse latest depth,market good 90% audit: Bovada,good,10.93,11.27,-0.34,-0.0299,1.0,0.9,single-feed,good projection has one market provider,1.0,,ok
TE,Harold Fannin Jr,TE,CLE,JAC,2026-09-13 17:00,7.82,3.5,15.51,20.0,9.4,1,nflverse latest depth,market good 90% audit: Bovada,good,7.62,9.59,-1.97,-0.2052,1.0,0.9,single-feed,good projection has one market provider,1.0,,ok
K,Brandon Aubrey,K,DAL,NYG,,11.75,7.26,19.94,,,1,nflverse PK depth,nflverse rolling kicker games (n=8),,,,,,,,,,,,ok
FLEX,Jaylen Warren,RB,PIT,ATL,2026-09-13 17:00,11.57,6.34,21.04,27.0,11.9,1,nflverse latest depth,market good 90% audit: Bovada,good,11.52,11.99,-0.47,-0.0395,1.0,0.9,single-feed,good projection has one market provider,1.0,,ok
BENCH,Sam Darnold,QB,SEA,NE,2026-09-10 00:20,16.41,10.8,26.66,29.0,14.88,1,nflverse latest depth,market good 90% audit: Bovada,good,16.59,14.78,1.81,0.1227,1.0,0.9,single-feed,good projection has one market provider,1.0,,ok
BENCH,Jaylen Waddle,WR,DEN,KC,2026-09-15 00:15,9.72,5.22,17.84,21.0,10.13,1,nflverse latest depth,70% FPPG + 30% salary prior,,,,,,,,,,,,ok
BENCH,Quentin Johnston,WR,LAC,ARI,2026-09-13 20:25,9.44,4.53,18.26,20.0,10.66,2,nflverse latest depth,market good 90% audit: Bovada,good,9.39,9.93,-0.54,-0.0544,1.0,0.9,single-feed,good projection has one market provider,1.0,,ok
BENCH,Brenton Strange,TE,JAC,CLE,2026-09-13 17:00,7.69,3.45,15.26,15.0,7.45,1,nflverse latest depth,market good 90% audit: Bovada,good,7.75,7.15,0.6,0.0843,1.0,0.9,single-feed,good projection has one market provider,1.0,,ok
BENCH,Rashid Shaheed,WR,SEA,NE,2026-09-10 00:20,6.96,3.74,12.78,14.0,6.89,1,nflverse latest depth,market good 90% audit: Bovada,good,7.03,6.36,0.67,0.1045,1.0,0.9,single-feed,good projection has one market provider,1.0,,ok
BENCH,Isaac TeSlaa,WR,DET,NO,2026-09-13 17:00,3.71,1.44,7.72,11.0,4.85,3,nflverse latest depth,market good 90% audit: Bovada,good,3.63,4.48,-0.85,-0.1892,1.0,0.9,single-feed,good projection has one market provider,1.0,,depth 3
